# File created on 2023-07-04 16:58:02
# This file contains the predictions generated by the model.

date,time,prediction,prediction_str,confidence
20191219,00:45:00,1,no_aurora,0.90845376
20191219,00:45:03,1,no_aurora,0.70668936
20191219,00:45:06,1,no_aurora,0.54395556
20191219,00:45:09,1,no_aurora,0.9060484
20191219,00:45:12,1,no_aurora,0.8365221
20191219,00:45:15,1,no_aurora,0.6374711
20191219,00:45:18,1,no_aurora,0.5493623
20191219,00:45:21,1,no_aurora,0.88000876
20191219,00:45:24,1,no_aurora,0.91741526
20191219,00:45:27,1,no_aurora,0.78028685
20191219,00:45:30,1,no_aurora,0.8387013
20191219,00:45:33,1,no_aurora,0.70725197
20191219,00:45:36,1,no_aurora,0.71486515
20191219,00:45:39,1,no_aurora,0.8688961
20191219,00:45:42,1,no_aurora,0.7389832
20191219,00:45:45,1,no_aurora,0.75485486
20191219,00:45:48,1,no_aurora,0.6726763
20191219,00:45:51,1,no_aurora,0.90074354
20191219,00:45:54,1,no_aurora,0.77106464
20191219,00:45:57,1,no_aurora,0.5482796
20191219,00:17:00,1,no_aurora,0.911201
20191219,00:17:03,1,no_aurora,0.76856416
20191219,00:17:06,1,no_aurora,0.89482564
20191219,00:17:09,1,no_aurora,0.9281068
20191219,00:17:12,1,no_aurora,0.76415837
20191219,00:17:15,1,no_aurora,0.6516378
20191219,00:17:18,1,no_aurora,0.92460495
20191219,00:17:21,1,no_aurora,0.65417325
20191219,00:17:24,1,no_aurora,0.811215
20191219,00:17:27,1,no_aurora,0.61235356
20191219,00:17:30,1,no_aurora,0.6339625
20191219,00:17:33,1,no_aurora,0.9056349
20191219,00:17:36,1,no_aurora,0.7512122
20191219,00:17:39,1,no_aurora,0.7023417
20191219,00:17:42,1,no_aurora,0.7701238
20191219,00:17:45,1,no_aurora,0.7653871
20191219,00:17:48,1,no_aurora,0.72946227
20191219,00:17:51,1,no_aurora,0.6631533
20191219,00:17:54,1,no_aurora,0.8961505
20191219,00:17:57,1,no_aurora,0.8125924
20191219,00:36:00,1,no_aurora,0.7261447
20191219,00:36:03,1,no_aurora,0.7734558
20191219,00:36:06,1,no_aurora,0.8537537
20191219,00:36:09,1,no_aurora,0.77115804
20191219,00:36:12,1,no_aurora,0.91027254
20191219,00:36:15,1,no_aurora,0.8732968
20191219,00:36:18,1,no_aurora,0.8145294
20191219,00:36:21,1,no_aurora,0.9326367
20191219,00:36:24,1,no_aurora,0.59874463
20191219,00:36:27,1,no_aurora,0.49501655
20191219,00:36:30,1,no_aurora,0.819517
20191219,00:36:33,1,no_aurora,0.94737196
20191219,00:36:36,1,no_aurora,0.8700035
20191219,00:36:39,1,no_aurora,0.83947814
20191219,00:36:42,1,no_aurora,0.7969844
