# File created on 2023-07-04 23:34:14
# This file contains the predictions generated by the model.

date,time,prediction,prediction_str,confidence
20200201,04:24:00,1,no_aurora,0.7387198
20200201,04:24:03,1,no_aurora,0.7899631
20200201,04:24:06,1,no_aurora,0.82986516
20200201,04:24:09,1,no_aurora,0.5965115
20200201,04:24:12,1,no_aurora,0.6979945
20200201,04:24:15,1,no_aurora,0.6098204
20200201,04:24:18,0,bad_viewing,0.49013597
20200201,04:24:21,1,no_aurora,0.5712583
20200201,04:24:24,1,no_aurora,0.4915201
20200201,04:24:27,0,bad_viewing,0.79596055
20200201,04:24:30,1,no_aurora,0.5234171
20200201,04:24:33,1,no_aurora,0.5251029
20200201,04:24:36,1,no_aurora,0.64871716
20200201,04:24:39,1,no_aurora,0.53822005
20200201,04:24:42,1,no_aurora,0.6516302
20200201,04:24:45,0,bad_viewing,0.54570085
20200201,04:24:48,1,no_aurora,0.74144894
20200201,04:24:51,0,bad_viewing,0.522768
20200201,04:24:54,0,bad_viewing,0.70766854
20200201,04:24:57,1,no_aurora,0.50978106
20200201,04:35:00,0,bad_viewing,0.5209453
20200201,04:35:03,1,no_aurora,0.65711117
20200201,04:35:06,1,no_aurora,0.53838855
20200201,04:35:09,1,no_aurora,0.6166452
20200201,04:35:12,0,bad_viewing,0.5161116
20200201,04:35:15,0,bad_viewing,0.75921637
20200201,04:35:18,0,bad_viewing,0.5307425
20200201,04:35:21,0,bad_viewing,0.61302817
20200201,04:35:24,1,no_aurora,0.5147058
20200201,04:35:27,0,bad_viewing,0.52499276
20200201,04:35:30,0,bad_viewing,0.49788058
20200201,04:35:33,0,bad_viewing,0.5335116
20200201,04:35:36,0,bad_viewing,0.4832165
20200201,04:35:39,0,bad_viewing,0.58493334
20200201,04:35:42,1,no_aurora,0.59401894
20200201,04:35:45,0,bad_viewing,0.52330756
20200201,04:35:48,0,bad_viewing,0.6410079
20200201,04:35:51,1,no_aurora,0.59211487
20200201,04:35:54,1,no_aurora,0.59195054
20200201,04:35:57,0,bad_viewing,0.6824121
20200201,04:17:00,1,no_aurora,0.906235
20200201,04:17:03,0,bad_viewing,0.49939847
20200201,04:17:06,1,no_aurora,0.7584274
20200201,04:17:09,1,no_aurora,0.7128663
20200201,04:17:12,1,no_aurora,0.6288265
20200201,04:17:15,1,no_aurora,0.50278866
20200201,04:17:18,1,no_aurora,0.5076171
20200201,04:17:21,1,no_aurora,0.60868394
20200201,04:17:24,1,no_aurora,0.5922719
20200201,04:17:27,1,no_aurora,0.793035
20200201,04:17:30,0,bad_viewing,0.56514424
20200201,04:17:33,1,no_aurora,0.5389038
20200201,04:17:36,1,no_aurora,0.6345497
20200201,04:17:39,1,no_aurora,0.7016539
20200201,04:17:42,0,bad_viewing,0.62892526
20200201,04:17:45,1,no_aurora,0.62544024
20200201,04:17:48,0,bad_viewing,0.54037744
20200201,04:17:51,0,bad_viewing,0.67308646
20200201,04:17:54,1,no_aurora,0.600989
20200201,04:17:57,0,bad_viewing,0.6343449
20200201,04:52:00,1,no_aurora,0.5390105
20200201,04:52:03,0,bad_viewing,0.56692433
20200201,04:52:06,1,no_aurora,0.5776732
20200201,04:52:09,1,no_aurora,0.6272584
20200201,04:52:12,0,bad_viewing,0.50982255
