# File created on 2023-07-05 17:55:31
# This file contains the predictions generated by the model.

date,time,prediction,prediction_str,confidence
20200414,03:34:00,0,bad_viewing,0.3949753
20200414,03:34:03,2,other_aurora,0.5254103
20200414,03:34:06,2,other_aurora,0.6484092
20200414,03:34:09,2,other_aurora,0.51685286
20200414,03:34:12,2,other_aurora,0.5626776
20200414,03:34:15,1,no_aurora,0.4157651
20200414,03:34:18,0,bad_viewing,0.50194144
20200414,03:34:21,0,bad_viewing,0.449716
20200414,03:34:24,1,no_aurora,0.3747554
20200414,03:34:27,2,other_aurora,0.37541705
20200414,03:34:30,2,other_aurora,0.56033754
20200414,03:34:33,2,other_aurora,0.48447046
20200414,03:34:36,2,other_aurora,0.4912417
20200414,03:34:39,2,other_aurora,0.5116948
20200414,03:34:42,0,bad_viewing,0.3769479
20200414,03:34:45,2,other_aurora,0.42578676
20200414,03:34:48,2,other_aurora,0.4264475
20200414,03:34:51,2,other_aurora,0.45090765
20200414,03:34:54,2,other_aurora,0.5429622
20200414,03:34:57,1,no_aurora,0.57314515
20200414,03:51:00,2,other_aurora,0.5587746
20200414,03:51:03,1,no_aurora,0.4742719
20200414,03:51:06,1,no_aurora,0.464605
20200414,03:51:09,1,no_aurora,0.5480776
20200414,03:51:12,1,no_aurora,0.5347162
20200414,03:51:15,1,no_aurora,0.5335998
20200414,03:51:18,1,no_aurora,0.46445403
20200414,03:51:21,1,no_aurora,0.6623908
20200414,03:51:24,1,no_aurora,0.61200505
20200414,03:51:27,1,no_aurora,0.52232563
20200414,03:51:30,1,no_aurora,0.44172904
20200414,03:51:33,1,no_aurora,0.6285787
20200414,03:51:36,1,no_aurora,0.57769144
20200414,03:51:39,1,no_aurora,0.539886
20200414,03:51:42,1,no_aurora,0.79288614
20200414,03:51:45,2,other_aurora,0.5196122
20200414,03:51:48,1,no_aurora,0.44821927
20200414,03:51:51,1,no_aurora,0.6664941
20200414,03:51:54,1,no_aurora,0.672737
20200414,03:51:57,1,no_aurora,0.74599016
20200414,03:53:00,1,no_aurora,0.6243724
20200414,03:53:03,1,no_aurora,0.60106426
20200414,03:53:06,1,no_aurora,0.5775077
20200414,03:53:09,1,no_aurora,0.5997168
20200414,03:53:12,2,other_aurora,0.44329837
20200414,03:53:15,1,no_aurora,0.631865
20200414,03:53:18,1,no_aurora,0.72985804
20200414,03:53:21,1,no_aurora,0.62562174
20200414,03:53:24,1,no_aurora,0.8113795
20200414,03:53:27,1,no_aurora,0.6367962
20200414,03:53:30,1,no_aurora,0.77392215
20200414,03:53:33,1,no_aurora,0.8604408
20200414,03:53:36,1,no_aurora,0.815849
20200414,03:53:39,1,no_aurora,0.8416693
20200414,03:53:42,1,no_aurora,0.83305186
20200414,03:53:45,1,no_aurora,0.7305787
20200414,03:53:48,1,no_aurora,0.6553978
20200414,03:53:51,1,no_aurora,0.8068467
20200414,03:53:54,1,no_aurora,0.88270706
20200414,03:53:57,1,no_aurora,0.92267454
20200414,03:55:00,1,no_aurora,0.8975481
20200414,03:55:03,1,no_aurora,0.92368484
20200414,03:55:06,1,no_aurora,0.9325889
20200414,03:55:09,1,no_aurora,0.81302816
20200414,03:55:12,1,no_aurora,0.74863994
20200414,03:55:15,1,no_aurora,0.88477385
20200414,03:55:18,1,no_aurora,0.8829934
20200414,03:55:21,1,no_aurora,0.8292906
20200414,03:55:24,1,no_aurora,0.86787266
20200414,03:55:27,1,no_aurora,0.8993231
20200414,03:55:30,1,no_aurora,0.65105265
20200414,03:55:33,1,no_aurora,0.8200365
20200414,03:55:36,1,no_aurora,0.8608099
20200414,03:55:39,1,no_aurora,0.8920275
20200414,03:55:42,1,no_aurora,0.7217701
20200414,03:55:45,1,no_aurora,0.79967695
20200414,03:55:48,1,no_aurora,0.93877876
20200414,03:55:51,1,no_aurora,0.8680238
20200414,03:55:54,1,no_aurora,0.8080892
20200414,03:55:57,1,no_aurora,0.9049464
20200414,03:32:00,0,bad_viewing,0.58092666
20200414,03:32:03,2,other_aurora,0.48922366
20200414,03:32:06,0,bad_viewing,0.71524984
20200414,03:32:09,1,no_aurora,0.41501468
20200414,03:32:12,0,bad_viewing,0.6942804
20200414,03:32:15,2,other_aurora,0.43131956
20200414,03:32:18,2,other_aurora,0.48334643
20200414,03:32:21,2,other_aurora,0.8353487
20200414,03:32:24,2,other_aurora,0.60470515
20200414,03:32:27,0,bad_viewing,0.5856197
20200414,03:32:30,2,other_aurora,0.42817372
20200414,03:32:33,0,bad_viewing,0.5027113
20200414,03:32:36,0,bad_viewing,0.5757635
20200414,03:32:39,2,other_aurora,0.60204804
20200414,03:32:42,0,bad_viewing,0.37195343
20200414,03:32:45,0,bad_viewing,0.40387195
20200414,03:32:48,2,other_aurora,0.63326806
20200414,03:32:51,2,other_aurora,0.41370696
20200414,03:32:54,0,bad_viewing,0.49885526
20200414,03:32:57,2,other_aurora,0.5567546
20200414,03:43:00,2,other_aurora,0.61493206
20200414,03:43:03,2,other_aurora,0.64086473
20200414,03:43:06,2,other_aurora,0.72881365
20200414,03:43:09,2,other_aurora,0.87406355
20200414,03:43:12,2,other_aurora,0.75989443
20200414,03:43:15,2,other_aurora,0.7002061
20200414,03:43:18,2,other_aurora,0.56898606
20200414,03:43:21,2,other_aurora,0.6787056
20200414,03:43:24,2,other_aurora,0.6591544
20200414,03:43:27,2,other_aurora,0.7419253
20200414,03:43:30,2,other_aurora,0.62957585
20200414,03:43:33,2,other_aurora,0.5728153
20200414,03:43:36,1,no_aurora,0.5771243
20200414,03:43:39,2,other_aurora,0.6536905
20200414,03:43:42,2,other_aurora,0.548995
20200414,03:43:45,2,other_aurora,0.70960027
20200414,03:43:48,2,other_aurora,0.5079068
