# File created on 2023-07-05 09:40:29
# This file contains the predictions generated by the model.

date,time,prediction,prediction_str,confidence
20200221,03:58:00,3,pulsating,0.8515822
20200221,03:58:03,3,pulsating,0.6161486
20200221,03:58:06,3,pulsating,0.8416712
20200221,03:58:09,3,pulsating,0.52808046
20200221,03:58:12,3,pulsating,0.61045027
20200221,03:58:15,3,pulsating,0.75773644
20200221,03:58:18,3,pulsating,0.72843087
20200221,03:58:21,3,pulsating,0.65468293
20200221,03:58:24,3,pulsating,0.6327083
20200221,03:58:27,3,pulsating,0.68780035
20200221,03:58:30,3,pulsating,0.5047208
20200221,03:58:33,3,pulsating,0.63914704
20200221,03:58:36,3,pulsating,0.5532629
20200221,03:58:39,3,pulsating,0.642578
20200221,03:58:42,0,bad_viewing,0.6140948
20200221,03:58:45,3,pulsating,0.5847168
20200221,03:58:48,3,pulsating,0.569972
20200221,03:58:51,3,pulsating,0.71844923
20200221,03:58:54,3,pulsating,0.77579546
20200221,03:58:57,3,pulsating,0.7225044
20200221,03:45:00,3,pulsating,0.5096675
20200221,03:45:03,3,pulsating,0.33417067
20200221,03:45:06,3,pulsating,0.56771624
20200221,03:45:09,3,pulsating,0.6912069
20200221,03:45:12,3,pulsating,0.6198486
20200221,03:45:15,3,pulsating,0.3733119
20200221,03:45:18,3,pulsating,0.34170136
20200221,03:45:21,3,pulsating,0.6728455
20200221,03:45:24,3,pulsating,0.6950943
20200221,03:45:27,3,pulsating,0.47825652
20200221,03:45:30,3,pulsating,0.557356
20200221,03:45:33,3,pulsating,0.46590275
20200221,03:45:36,3,pulsating,0.7375453
20200221,03:45:39,3,pulsating,0.62055266
20200221,03:45:42,3,pulsating,0.6511338
20200221,03:45:45,3,pulsating,0.7210364
20200221,03:45:48,3,pulsating,0.69378436
20200221,03:45:51,3,pulsating,0.69055116
20200221,03:45:54,3,pulsating,0.7481549
20200221,03:45:57,0,bad_viewing,0.42591843
20200221,03:54:00,3,pulsating,0.71130884
20200221,03:54:03,3,pulsating,0.77654403
20200221,03:54:06,3,pulsating,0.61944455
20200221,03:54:09,3,pulsating,0.7909543
20200221,03:54:12,3,pulsating,0.5620302
20200221,03:54:15,3,pulsating,0.6630859
20200221,03:54:18,3,pulsating,0.8621225
20200221,03:54:21,3,pulsating,0.724349
20200221,03:54:24,3,pulsating,0.67024976
20200221,03:54:27,3,pulsating,0.7751581
20200221,03:54:30,3,pulsating,0.7824284
20200221,03:54:33,3,pulsating,0.8812525
20200221,03:54:36,3,pulsating,0.68424743
20200221,03:54:39,3,pulsating,0.87024504
20200221,03:54:42,3,pulsating,0.8716407
20200221,03:54:45,3,pulsating,0.85505015
20200221,03:54:48,3,pulsating,0.8164408
20200221,03:54:51,3,pulsating,0.86125624
20200221,03:54:54,3,pulsating,0.74947625
20200221,03:54:57,3,pulsating,0.8222186
20200221,03:55:00,3,pulsating,0.7277692
20200221,03:55:03,3,pulsating,0.6870686
20200221,03:55:06,3,pulsating,0.6925569
20200221,03:55:09,3,pulsating,0.5795382
20200221,03:55:12,3,pulsating,0.8384335
20200221,03:55:15,3,pulsating,0.5630489
20200221,03:55:18,3,pulsating,0.8772733
20200221,03:55:21,3,pulsating,0.5258314
20200221,03:55:24,3,pulsating,0.564755
20200221,03:55:27,3,pulsating,0.7448935
20200221,03:55:30,3,pulsating,0.53460217
20200221,03:55:33,3,pulsating,0.8045673
