# File created on 2023-07-04 21:28:24
# This file contains the predictions generated by the model.

date,time,prediction,prediction_str,confidence
20200126,00:01:00,1,no_aurora,0.52387196
20200126,00:01:03,1,no_aurora,0.646087
20200126,00:01:06,1,no_aurora,0.6602729
20200126,00:01:09,1,no_aurora,0.78705543
20200126,00:01:12,1,no_aurora,0.5452701
20200126,00:01:15,1,no_aurora,0.66379124
20200126,00:01:18,1,no_aurora,0.7897029
20200126,00:01:21,1,no_aurora,0.833815
20200126,00:01:24,1,no_aurora,0.6139958
20200126,00:01:27,1,no_aurora,0.8088835
20200126,00:01:30,1,no_aurora,0.79264176
20200126,00:01:33,1,no_aurora,0.8226928
20200126,00:01:36,1,no_aurora,0.57972234
20200126,00:01:39,1,no_aurora,0.60191756
20200126,00:01:42,1,no_aurora,0.6344889
20200126,00:01:45,1,no_aurora,0.71993244
20200126,00:01:48,1,no_aurora,0.54784626
20200126,00:01:51,1,no_aurora,0.7329833
20200126,00:01:54,1,no_aurora,0.7216065
20200126,00:01:57,1,no_aurora,0.6025515
20200126,00:38:00,1,no_aurora,0.5616543
20200126,00:38:03,1,no_aurora,0.7696594
20200126,00:38:06,1,no_aurora,0.5747668
20200126,00:38:09,1,no_aurora,0.76050985
20200126,00:38:12,1,no_aurora,0.58056873
20200126,00:38:15,1,no_aurora,0.6857518
20200126,00:38:18,1,no_aurora,0.53931683
20200126,00:38:21,1,no_aurora,0.5068305
20200126,00:38:24,1,no_aurora,0.62707704
20200126,00:38:27,1,no_aurora,0.62496537
20200126,00:38:30,1,no_aurora,0.52506685
20200126,00:38:33,1,no_aurora,0.47476923
20200126,00:38:36,1,no_aurora,0.6957842
20200126,00:38:39,1,no_aurora,0.71531355
20200126,00:38:42,1,no_aurora,0.42485917
20200126,00:38:45,1,no_aurora,0.84155244
20200126,00:38:48,1,no_aurora,0.52003926
20200126,00:38:51,2,other_aurora,0.54267865
20200126,00:38:54,2,other_aurora,0.4447103
20200126,00:38:57,1,no_aurora,0.76880825
20200126,00:07:00,1,no_aurora,0.49140593
20200126,00:07:03,1,no_aurora,0.66879785
20200126,00:07:06,1,no_aurora,0.623871
20200126,00:07:09,1,no_aurora,0.5923316
20200126,00:07:12,1,no_aurora,0.5242423
20200126,00:07:15,1,no_aurora,0.7425513
20200126,00:07:18,2,other_aurora,0.4887714
20200126,00:07:21,1,no_aurora,0.81627214
20200126,00:07:24,1,no_aurora,0.6923615
